Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,12.03100014,10.64500046,12.36800003,12.29899979,8.701999664,11.13799953,11.10900021,11.01299953,11.06900024,11.18400002,11.58399963,8.690999985,8.852999687,10.0010004,8.470000267,9.05700016,7.802000046,8.755000114,6.704999924,7.821000099,8.229999542,7.93599987,8.451999664,8.706000328,8.86400032,8.840999603,8.836999893
Angola,23.64999962,23.64299965,23.63599968,23.76199913,23.91699982,23.95400047,23.88899994,23.84399986,23.77499962,23.73399925,23.72500038,23.79000092,23.62800026,23.63999939,21.3579998,19.08499908,16.80400085,14.4989996,12.13700008,9.862999916,7.360000134,7.347000122,7.330999851,7.306000233,7.281000137,7.723999977,8.166999817
Albania,22.3239994,22.64699936,24.82600021,24.58300018,23.86100006,23.39800072,23.19499969,23.03300095,23.29000092,22.72999954,22.68000031,21.48800087,20.15299988,18.81800079,17.46299934,16.04000092,13.5,13.05000019,13.76000023,14.19999981,13.97999954,13.43999958,15.64000034,17.48999977,17.07999992,15.22000027,13.86699963
Arab World,12.66223386,12.9218521,13.40551934,13.68105214,14.25614793,13.70572339,13.24790292,13.19671928,12.3271838,12.60221023,12.86802576,12.93963468,13.11944589,12.16670568,11.80338605,11.01123764,10.53325383,10.14122554,9.773683722,10.35360593,10.37160061,10.59363501,10.48269566,10.4488969,10.42737455,10.27383543,10.18354974
United Arab Emirates,1.807999969,1.832000017,1.797000051,1.838999987,1.799999952,1.889000058,2.013000011,2.016000032,2.108999968,2.25,2.407000065,2.648999929,2.930000067,3.098999977,3.119999886,3.176000118,3.184999943,4.010000229,4.170000076,3.813999891,3.539000034,3.167000055,2.819000006,2.437000036,2.095999956,1.639999986,1.715999961
Argentina,5.550000191,6.360000134,10.10000038,11.94999981,18.79999924,17.20000076,14.89000034,12.68999958,14.10000038,15.02999973,17.35000038,19.61000061,15.39999962,13.52000046,11.51000023,10.07999992,8.470000267,7.840000153,8.649999619,7.380000114,7.050000191,7.340000153,6.610000134,7.019999981,6.882999897,8.395999908,8.737999916
Armenia,1.988000035,1.799999952,5.300000191,6.599999905,6.699999809,9.300000191,10.80000019,9.399999619,11.19999981,10.91399956,10.60299969,10.44499969,10.10000038,9.600000381,8.199999809,7.5,12.00699997,16.37000084,18.73999977,19.01000023,18.44000053,17.30999947,16.18000031,17.5,18.26000023,18.04000092,18.18700027
Australia,9.579999924,10.72999954,10.86999989,9.720000267,8.470000267,8.510000229,8.359999657,7.679999828,6.869999886,6.28000021,6.739999771,6.369999886,5.929999828,5.389999866,5.03000021,4.78000021,4.380000114,4.230000019,5.559999943,5.210000038,5.079999924,5.21999979,5.659999847,6.070000172,6.059999943,5.71999979,5.679999828
Austria,3.420000076,3.589999914,4.25,3.529999971,4.349999905,5.28000021,5.150000095,5.519999981,4.699999809,4.690000057,4.010000229,4.849999905,4.78000021,5.829999924,5.630000114,5.239999771,4.860000134,4.130000114,5.300000191,4.820000172,4.559999943,4.869999886,5.329999924,5.619999886,5.71999979,6.010000229,5.486000061
Azerbaijan,8.93900013,7.208000183,7.277999878,7.735000134,7.971000195,11.74600029,11.84700012,11.79199982,11.8760004,11.80000019,10.89999962,10,9.25,8,7.300000191,6.619999886,6.539999962,6.050000191,5.739999771,5.630000114,5.420000076,5.190000057,4.96999979,4.909999847,4.960000038,5,5.032000065
